  t   J_i   l_i   J_f   l_f   Lam  n1   lj1  n2  lj2   TD   TD/sqrt(2j_1+1)
  0     2     2     2     1  0     2     1     2     1     0.01306447     0.00923797
  0     2     2     2     1  0     2     2     2     2    -0.00556090    -0.00278045
  0     2     2     2     1  0     1     5     1     5    -0.15335531    -0.06260704
  0     2     2     2     1  0     1     8     1     8     0.11608243     0.03670849
  1     2     2     2     1  0     2     1     2     1     0.05931303     0.04194065
  1     2     2     2     1  0     2     2     2     2     0.04547480     0.02273740
  1     2     2     2     1  0     1     5     1     5     0.03277743     0.01338133
  1     2     2     2     1  0     1     8     1     8    -0.08067977    -0.02551318
  0     2     2     2     1  2     2     1     2     2    -0.19119244    -0.13519347
  0     2     2     2     1  2     2     1     1     5     0.43077561     0.30460436
  0     2     2     2     1  2     2     2     2     1     0.31206139     0.15603069
  0     2     2     2     1  2     2     2     2     2     0.06879498     0.03439749
  0     2     2     2     1  2     2     2     1     5     0.07692809     0.03846404
  0     2     2     2     1  2     1     5     2     1     0.35663047     0.14559378
  0     2     2     2     1  2     1     5     2     2    -0.07037415    -0.02873013
  0     2     2     2     1  2     1     5     1     5     0.55344931     0.22594473
  0     2     2     2     1  2     1     8     1     8     1.54199564     0.48762184
  0     2     2     2     1  2     1     8     1     5    -0.00002162    -0.00000684
  1     2     2     2     1  2     2     1     2     2    -0.29116528    -0.20588494
  1     2     2     2     1  2     2     1     1     5     0.21620449     0.15287966
  1     2     2     2     1  2     2     2     2     1     0.43976616     0.21988308
  1     2     2     2     1  2     2     2     2     2     0.72569379     0.36284690
  1     2     2     2     1  2     2     2     1     5     0.28265860     0.14132930
  1     2     2     2     1  2     1     5     1     8     0.00001216     0.00000497
  1     2     2     2     1  2     1     5     2     1     0.55975503     0.22851903
  1     2     2     2     1  2     1     5     2     2    -0.23474909    -0.09583591
  1     2     2     2     1  2     1     5     1     5     1.14047221     0.46559583
  1     2     2     2     1  2     1     8     1     8     0.13748300     0.04347594
  0     2     2     2     2  0     2     1     2     1     2.26472522     1.60140256
  0     2     2     2     2  0     2     2     2     2     4.22731449     2.11365724
  0     2     2     2     2  0     1     5     1     5     4.60836356     1.88135654
  0     2     2     2     2  0     1     8     1     8     4.05674748     1.28285619
  1     2     2     2     2  0     2     1     2     1     0.64621712     0.45694450
  1     2     2     2     2  0     2     2     2     2     1.50596547     0.75298273
  1     2     2     2     2  0     1     5     1     5     1.79098435     0.73116630
  1     2     2     2     2  0     1     8     1     8     0.19976053     0.06316983
  0     2     2     2     2  2     2     1     2     2    -0.00524105    -0.00370598
  0     2     2     2     2  2     2     1     1     5    -0.02925750    -0.02068818
  0     2     2     2     2  2     2     2     2     1     0.00524105     0.00262053
  0     2     2     2     2  2     2     2     2     2    -0.00597059    -0.00298529
  0     2     2     2     2  2     2     2     1     5    -0.00839572    -0.00419786
  0     2     2     2     2  2     1     5     2     1    -0.02925750    -0.01194433
  0     2     2     2     2  2     1     5     2     2     0.00839572     0.00342754
  0     2     2     2     2  2     1     5     1     5     0.10284789     0.04198747
  0     2     2     2     2  2     1     8     1     8    -0.22342187    -0.07065220
  0     2     2     2     2  2     1     8     1     5     0.00014307     0.00004524
  1     2     2     2     2  2     2     1     2     2     0.14006628     0.09904182
  1     2     2     2     2  2     2     1     1     5    -0.05103696    -0.03608858
  1     2     2     2     2  2     2     2     2     1    -0.14006628    -0.07003314
  1     2     2     2     2  2     2     2     2     2    -0.00067665    -0.00033832
  1     2     2     2     2  2     2     2     1     5     0.01551352     0.00775676
  1     2     2     2     2  2     1     5     1     8     0.00014307     0.00005841
  1     2     2     2     2  2     1     5     2     1    -0.05103696    -0.02083575
  1     2     2     2     2  2     1     5     2     2    -0.01551352    -0.00633337
  1     2     2     2     2  2     1     5     1     5    -0.07813111    -0.03189689
  1     2     2     2     2  2     1     8     1     8    -0.10585413    -0.03347402
  0     2     2     4     1  2     2     1     2     2    -0.06542831    -0.04626481
  0     2     2     4     1  2     2     1     1     5     0.25423453     0.17977096
  0     2     2     4     1  2     2     2     2     1     0.01714830     0.00857415
  0     2     2     4     1  2     2     2     2     2     0.07482487     0.03741243
  0     2     2     4     1  2     2     2     1     5     0.05332467     0.02666234
  0     2     2     4     1  2     1     5     2     1     0.17971508     0.07336837
  0     2     2     4     1  2     1     5     2     2    -0.05578096    -0.02277248
  0     2     2     4     1  2     1     5     1     5    -0.17783675    -0.07260155
  0     2     2     4     1  2     1     8     1     8    -0.10612072    -0.03355832
  0     2     2     4     1  2     1     8     1     5    -0.00006590    -0.00002084
  1     2     2     4     1  2     2     1     2     2     0.15107311     0.10682482
  1     2     2     4     1  2     2     1     1     5    -0.29431798    -0.20811424
  1     2     2     4     1  2     2     2     2     1    -0.09500849    -0.04750425
  1     2     2     4     1  2     2     2     2     2    -0.08035282    -0.04017641
  1     2     2     4     1  2     2     2     1     5     0.03171669     0.01585835
  1     2     2     4     1  2     1     5     1     8    -0.00009495    -0.00003876
  1     2     2     4     1  2     1     5     2     1    -0.23528273    -0.09605377
  1     2     2     4     1  2     1     5     2     2    -0.09007037    -0.03677107
  1     2     2     4     1  2     1     5     1     5     0.17461361     0.07128571
  1     2     2     4     1  2     1     8     1     8     0.12019845     0.03801009
  0     2     2     4     2  2     2     1     2     2    -0.42465197    -0.30027429
  0     2     2     4     2  2     2     1     1     5     0.56264407     0.39784944
  0     2     2     4     2  2     2     1     2     2     0.00001420     0.00001004
  0     2     2     4     2  2     2     2     2     1     0.19146274     0.09573137
  0     2     2     4     2  2     2     2     2     2     0.07472116     0.03736058
  0     2     2     4     2  2     2     2     1     5     0.04682320     0.02341160
  0     2     2     4     2  2     1     5     2     1     0.34741092     0.14182991
  0     2     2     4     2  2     1     5     2     2    -0.09770440    -0.03988766
  0     2     2     4     2  2     1     5     1     5     0.67403324     0.27517292
  0     2     2     4     2  2     1     8     1     8     1.91043256     0.60413182
